Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,56,4.1477,4.2421,4.3874,4.6302,4.9,5.1698,5.4408,5.6224,5.7404
2,57,4.4358,4.5065,4.6155,4.8302,5.1,5.4372,5.7689,5.9869,6.1285
2,58,4.6477,4.7421,4.8874,5.1302,5.4,5.7372,6.0689,6.2869,6.4285
2,59,4.8477,4.9421,5.0874,5.3628,5.7,6.0372,6.3689,6.5869,6.7285
2,60,5.1477,5.2421,5.3874,5.6628,6.0,6.3372,6.6971,6.9514,7.1166
2,61,5.3477,5.4421,5.5874,5.8628,6.2,6.6047,6.9971,7.2514,7.4166
2,62,5.5596,5.6776,5.8592,6.1628,6.5,6.9047,7.2971,7.5514,7.7166
2,63,5.7596,5.8776,6.0592,6.3953,6.8,7.2047,7.5971,7.8514,8.0166
2,64,6.0596,6.1776,6.3592,6.6628,7.0,7.4721,7.8971,8.1514,8.3166
2,65,6.2596,6.3776,6.5592,6.8953,7.3,7.7047,8.1252,8.4159,8.6046
2,66,6.4596,6.5776,6.7592,7.0953,7.5,7.9721,8.4252,8.7159,8.9046
2,67,6.6596,6.7776,6.9592,7.2953,7.7,8.1721,8.6534,8.9804,9.1927
2,68,6.8596,6.9776,7.1592,7.5279,8.0,8.4721,8.9252,9.2159,9.4046
2,69,7.0596,7.1776,7.3592,7.7279,8.2,8.6721,9.1534,9.4804,9.6927
2,70,7.2596,7.3776,7.5592,7.9279,8.4,8.8721,9.3816,9.7449,9.9808
2,71,7.4596,7.5776,7.7592,8.1279,8.6,9.1396,9.6534,9.9804,10.1927
2,72,7.5715,7.7131,7.9311,8.3279,8.8,9.3396,9.8534,10.1804,10.3927
2,73,7.7715,7.9131,8.1311,8.5279,9.0,9.5396,10.0816,10.4449,10.6808
2,74,7.9715,8.1131,8.3311,8.7279,9.2,9.7396,10.2816,10.6449,10.8808
2,75,8.1715,8.3131,8.5311,8.9279,9.4,9.9396,10.4816,10.8449,11.0808
2,76,8.2834,8.4486,8.7029,9.1279,9.6,10.1396,10.6816,11.0449,11.2808
2,77,8.4715,8.6131,8.8311,9.2604,9.8,10.3396,10.8816,11.2449,11.4808
2,78,8.6715,8.8131,9.0311,9.4279,9.9,10.507,11.1097,11.5093,11.7689
2,79,8.7834,8.9486,9.2029,9.6279,10.1,10.707,11.3097,11.7093,11.9689
2,80,8.9834,9.1486,9.4029,9.8279,10.3,10.907,11.5097,11.9093,12.1689
2,81,9.1715,9.3131,9.5311,9.9604,10.5,11.107,11.7097,12.1093,12.3689
2,82,9.3715,9.5131,9.7311,10.1604,10.7,11.307,11.9379,12.3738,12.657
2,83,9.4834,9.6486,9.9029,10.3604,10.9,11.5745,12.2097,12.6093,12.8689
2,84,9.6834,9.8486,10.1029,10.5604,11.1,11.7745,12.4097,12.8093,13.0689
2,85,9.8834,10.0486,10.3029,10.7604,11.3,11.9745,12.6379,13.0738,13.357
2,86,10.0834,10.2486,10.5029,10.993,11.6,12.207,12.8379,13.2738,13.557
2,87,10.2834,10.4486,10.7029,11.193,11.8,12.4745,13.1379,13.5738,13.857
2,88,10.4834,10.6486,10.9029,11.393,12.0,12.6745,13.3379,13.7738,14.057
2,89,10.6834,10.8486,11.1029,11.593,12.2,12.8745,13.566,14.0383,14.345
2,90,10.8834,11.0486,11.3029,11.793,12.4,13.1419,13.8379,14.2738,14.557
2,91,11.0954,11.2841,11.5748,12.093,12.7,13.3745,14.066,14.5383,14.845
2,92,11.2954,11.4841,11.7748,12.293,12.9,13.6419,14.366,14.8383,15.145
2,93,11.4954,11.6841,11.9748,12.493,13.1,13.8419,14.5942,15.1028,15.4331
2,94,11.6954,11.8841,12.1748,12.7255,13.4,14.1419,14.866,15.3383,15.645
2,95,11.9073,12.1196,12.4466,12.993,13.6,14.4094,15.166,15.6383,15.945
2,96,12.1073,12.3196,12.6466,13.2255,13.9,14.6419,15.3942,15.9028,16.2331
2,97,12.3954,12.5841,12.8748,13.4255,14.1,14.9094,15.7223,16.2673,16.6212
2,98,12.6073,12.8196,13.1466,13.7255,14.4,15.2094,16.0223,16.5673,16.9212
2,99,12.8073,13.0196,13.3466,13.9581,14.7,15.5094,16.3223,16.8673,17.2212
2,100,13.1073,13.3196,13.6466,14.2255,14.9,15.7768,16.6223,17.1673,17.5212
