Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,22,9.5192,9.7551,10.1184,10.7581,11.5,12.4443,13.3505,13.9318,14.3093
2,23,9.6311,9.8907,10.2903,10.9581,11.7,12.6443,13.5786,14.1963,14.5973
2,24,9.8192,10.0551,10.4184,11.0906,11.9,12.8443,13.7786,14.3963,14.7973
2,27,10.2311,10.4907,10.8903,11.6232,12.5,13.5117,14.5068,15.1607,15.5854
2,30,10.7311,10.9907,11.3903,12.1232,13.0,14.0792,15.1349,15.8252,16.2735
2,33,11.143,11.4262,11.8621,12.6557,13.6,14.6792,15.7631,16.4897,16.9616
2,36,11.543,11.8262,12.2621,13.0883,14.1,15.3141,16.4631,17.1897,17.6616
2,39,11.955,12.2617,12.734,13.6208,14.7,15.9141,17.1194,17.9187,18.4377
2,42,12.3669,12.6972,13.2058,14.1208,15.2,16.4815,17.7476,18.5832,19.1258
2,45,12.7669,13.0972,13.6058,14.5534,15.7,17.049,18.3757,19.2476,19.8139
2,48,13.1788,13.5327,14.0777,15.0534,16.2,17.6164,19.0039,19.9121,20.502
2,51,13.4907,13.8682,14.4495,15.4859,16.7,18.1839,19.632,20.5766,21.1901
2,54,13.8907,14.2682,14.8495,15.9185,17.2,18.7513,20.2602,21.2411,21.8781
2,57,14.3027,14.7037,15.3214,16.451,17.8,19.4188,20.9883,22.0056,22.6662
2,60,14.7146,15.1393,15.7932,16.9836,18.4,20.0862,21.7165,22.7701,23.4543
2,63,15.1265,15.5748,16.2651,17.5161,19.0,20.7537,22.4728,23.599,24.3305
2,66,15.5384,16.0103,16.7369,18.0487,19.6,21.4211,23.201,24.3635,25.1185
2,69,15.9503,16.4458,17.2087,18.5812,20.2,22.0886,23.9573,25.1925,25.9947
2,72,16.3503,16.8458,17.6087,19.0138,20.7,22.7235,24.7136,26.0215,26.8709
2,75,16.6742,17.2168,18.0524,19.5463,21.3,23.3909,25.4417,26.786,27.6589
2,78,17.0742,17.6168,18.4524,19.9789,21.8,24.0258,26.1699,27.5504,28.447
2,81,17.3861,17.9524,18.8243,20.444,22.4,24.6933,26.9262,28.3794,29.3232
