Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,23,81.0576,81.7654,82.8553,84.7091,86.8,88.8235,90.6447,91.7346,92.4424
2,24,81.1695,81.901,83.0272,84.9091,87.0,89.0909,90.9447,92.0346,92.7424
2,27,83.5815,84.3365,85.499,87.4091,89.5,91.6584,93.601,94.7635,95.5185
2,30,85.6934,86.472,87.6709,89.6742,91.9,94.1258,96.1291,97.328,98.1066
2,33,87.7053,88.5075,89.7427,91.8067,94.1,96.3933,98.4573,99.6925,100.4947
2,36,89.7053,90.5075,91.7427,93.8393,96.2,98.5607,100.6854,101.957,102.7828
2,39,91.5172,92.343,93.6146,95.7718,98.2,100.6282,102.7854,104.057,104.8828
2,42,93.2291,94.0785,95.3864,97.6044,100.1,102.5282,104.7417,106.086,106.9589
2,45,94.853,95.7496,97.1301,99.4044,101.9,104.3956,106.6699,108.0504,108.947
2,48,96.453,97.3496,98.7301,101.0695,103.7,106.2631,108.5699,109.9504,110.847
2,51,98.0649,98.9851,100.4019,102.7695,105.4,108.0305,110.3981,111.8149,112.7351
2,54,99.6768,100.6206,102.0738,104.502,107.2,109.898,112.3262,113.7794,114.7232
2,57,101.2887,102.2561,103.7456,106.2346,109.0,111.7654,114.2544,115.7439,116.7113
2,60,102.9887,103.9561,105.4456,107.9671,110.8,113.6329,116.1544,117.6439,118.6113
2,63,104.6007,105.5916,107.1175,109.6997,112.6,115.4329,118.0107,119.5729,120.5874
2,66,106.1126,107.1271,108.6893,111.3322,114.3,117.2003,119.8388,121.4374,122.4755
2,69,107.6245,108.6626,110.2612,112.9322,115.9,118.9352,121.6388,123.2374,124.2755
2,72,109.0364,110.0982,111.733,114.4648,117.5,120.5352,123.267,124.9018,125.9636
2,75,110.4483,111.5337,113.2049,115.9973,119.1,122.2027,124.967,126.6018,127.6636
2,78,111.8483,112.9337,114.6049,117.4299,120.6,123.7701,126.5951,128.2663,129.3517
2,81,113.1603,114.2692,115.9767,118.8624,122.1,125.2701,128.1514,129.8953,131.0278
