Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,86,10.1954,10.3841,10.6748,11.1604,11.7,12.3745,13.0379,13.4738,13.757
2,87,10.3954,10.5841,10.8748,11.3604,11.9,12.5745,13.2379,13.6738,13.957
2,88,10.5954,10.7841,11.0748,11.5604,12.1,12.8419,13.5379,13.9738,14.257
2,89,10.7954,10.9841,11.2748,11.793,12.4,13.0745,13.766,14.2383,14.545
2,90,10.9954,11.1841,11.4748,11.993,12.6,13.2745,13.966,14.4383,14.745
2,91,11.1954,11.3841,11.6748,12.193,12.8,13.5419,14.266,14.7383,15.045
2,92,11.3954,11.5841,11.8748,12.4255,13.1,13.8419,14.566,15.0383,15.345
2,93,11.6073,11.8196,12.1466,12.693,13.3,14.0419,14.7942,15.3028,15.6331
2,94,11.8954,12.0841,12.3748,12.893,13.5,14.3094,15.066,15.5383,15.845
2,95,12.0954,12.2841,12.5748,13.1255,13.8,14.6094,15.3942,15.9028,16.2331
2,96,12.3073,12.5196,12.8466,13.4255,14.1,14.8419,15.6223,16.1673,16.5212
2,97,12.5073,12.7196,13.0466,13.6255,14.3,15.1094,15.9223,16.4673,16.8212
2,98,12.8073,13.0196,13.3466,13.9255,14.6,15.4094,16.2223,16.7673,17.1212
2,99,13.0073,13.2196,13.5466,14.1581,14.9,15.7094,16.5223,17.0673,17.4212
2,100,13.2192,13.4551,13.8184,14.4255,15.1,15.9768,16.8505,17.4318,17.8093
2,101,13.5073,13.7196,14.0466,14.6581,15.4,16.2768,17.1505,17.7318,18.1093
2,102,13.7192,13.9551,14.3184,14.9581,15.7,16.5768,17.4505,18.0318,18.4093
2,103,13.9192,14.1551,14.5184,15.1906,16.0,16.8768,17.7786,18.3963,18.7973
2,104,14.2192,14.4551,14.8184,15.4906,16.3,17.2443,18.1505,18.7318,19.1093
2,105,14.4192,14.6551,15.0184,15.6906,16.5,17.5117,18.4786,19.0963,19.4973
2,106,14.6311,14.8907,15.2903,15.9906,16.8,17.8117,18.8068,19.4607,19.8854
2,107,14.9311,15.1907,15.5903,16.2906,17.1,18.1117,19.1068,19.7607,20.1854
2,108,15.1311,15.3907,15.7903,16.5232,17.4,18.4792,19.5068,20.1607,20.5854
2,109,15.4311,15.6907,16.0903,16.8557,17.8,18.8117,19.8349,20.5252,20.9735
