Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,16,-0.515,9.148,0.14,7.1464,7.359,7.7055,8.3422,9.148,10.0778,11.0429,11.6891,12.1399
2,17,-0.539,9.346,0.14,7.3062,7.5223,7.8749,8.5236,9.346,10.2971,11.2869,11.9511,12.4152
2,18,-0.561,9.535,0.14,7.4587,7.6783,8.0367,8.6968,9.535,10.5065,11.5198,12.2013,12.6782
2,19,-0.582,9.716,0.14,7.6049,7.8277,8.1917,8.8627,9.716,10.707,11.7431,12.4413,12.9305
2,20,-0.601,9.889,0.141,7.7319,7.959,8.3301,9.0154,9.889,10.9064,11.9736,12.6948,13.2011
2,21,-0.62,10.056,0.141,7.8668,8.0969,8.4731,9.1684,10.056,11.0916,12.1803,12.9172,13.4354
2,22,-0.637,10.217,0.141,7.9966,8.2296,8.6108,9.3159,10.217,11.2702,12.3793,13.1314,13.6609
2,23,-0.654,10.374,0.141,8.1234,8.3593,8.7452,9.4597,10.374,11.4443,12.5736,13.3408,13.8814
2,24,-0.67,10.526,0.141,8.2462,8.4847,8.8754,9.5989,10.526,11.6129,12.7618,13.5435,14.0951
2,25,-0.686,10.674,0.142,8.3526,8.5949,8.9919,9.7284,10.674,11.7856,12.9642,13.7683,14.3366
2,26,-0.7,10.819,0.142,8.4694,8.7144,9.1159,9.8611,10.819,11.9466,13.144,13.962,14.5409
2,27,-0.715,10.96,0.142,8.5835,8.8309,9.2366,9.9903,10.96,12.1032,13.3193,14.1514,14.7408
2,28,-0.729,11.098,0.142,8.695,8.9448,9.3547,10.1167,11.098,12.2564,13.4907,14.3365,14.9363
2,29,-0.742,11.235,0.143,8.7917,9.0452,9.4613,10.2357,11.235,12.4176,13.6811,14.5491,15.1656
2,30,-0.755,11.37,0.143,8.9006,9.1565,9.5767,10.3592,11.37,12.5676,13.8492,14.7307,15.3576
2,31,-0.768,11.504,0.143,9.0088,9.2671,9.6914,10.4819,11.504,12.7166,14.0161,14.9113,15.5485
2,32,-0.781,11.639,0.143,9.1178,9.3785,9.8069,10.6055,11.639,12.8667,14.1844,15.0933,15.741
2,33,-0.794,11.774,0.144,9.2127,9.4769,9.9113,10.7223,11.774,13.0263,14.3743,15.3066,15.972
2,34,-0.807,11.911,0.144,9.3233,9.5899,10.0285,10.8477,11.911,13.1788,14.5455,15.4921,16.1685
2,35,-0.819,12.049,0.144,9.4345,9.7036,10.1464,10.974,12.049,13.3323,14.7178,15.6786,16.3658
2,36,-0.832,12.19,0.145,9.5337,9.8065,10.2556,11.0961,12.19,13.4991,14.9167,15.9024,16.6087
