Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,114,-1.112,29.527,0.217,21.0897,21.8611,23.1732,25.7826,29.527,34.6416,41.1824,46.5283,50.868
2,120,-1.038,31.485,0.224,22.1984,23.0464,24.4897,27.3622,31.485,37.1086,44.2718,50.0919,54.7886
2,126,-0.957,33.413,0.23,23.2655,24.1932,25.7722,28.9133,33.413,39.5228,47.2398,53.444,58.4026
2,132,-0.874,35.309,0.235,24.2985,25.3081,27.0257,30.438,35.309,41.8777,50.0808,56.5888,61.7299
2,138,-0.791,37.187,0.239,25.3141,26.4078,28.2669,31.952,37.187,44.1859,52.81,59.5504,64.808
2,144,-0.712,39.053,0.241,26.3663,27.5429,29.54,33.4853,39.053,46.4174,55.3518,62.2206,67.5068
2,150,-0.636,40.922,0.242,27.4379,28.6984,30.8338,35.0358,40.922,48.6184,57.8075,64.757,70.0365
2,156,-0.561,42.808,0.243,28.499,29.8473,32.1273,36.5956,42.808,50.8387,60.2798,67.3102,72.5875
2,162,-0.486,44.712,0.242,29.6379,31.0733,33.494,38.2126,44.712,53.0008,62.5772,69.5898,74.788
2,168,-0.41,46.614,0.241,30.7584,32.2846,34.8514,39.8267,46.614,55.1537,64.8538,71.8445,76.966
2,174,-0.33,48.501,0.24,31.8427,33.4649,36.1848,41.4249,48.501,57.2797,67.0816,74.0351,79.0718
2,180,-0.246,50.347,0.238,32.9267,34.6461,37.5184,43.0129,50.347,59.3068,69.1306,75.9875,80.8978
2,186,-0.158,52.149,0.236,33.9575,35.7789,38.8094,44.5626,52.149,61.2718,71.095,77.8439,82.6244
2,192,-0.066,53.895,0.234,34.925,36.8535,40.0482,46.0636,53.895,63.1616,72.9612,79.5914,84.2393
2,198,0.028,55.571,0.232,35.8244,37.864,41.2271,47.5051,55.571,64.9619,74.7202,81.2266,85.7436
2,204,0.123,57.172,0.231,36.5822,38.7425,42.2879,48.8495,57.172,66.7128,76.4655,82.8817,87.297
2,210,0.219,58.694,0.229,37.3356,39.6154,43.337,50.1594,58.694,68.3226,78.0046,84.2912,88.5812
2,216,0.315,60.128,0.228,37.9317,40.3416,44.2541,51.3591,60.128,69.871,79.5189,85.7087,89.9005
2,222,0.408,61.472,0.227,38.4548,40.9968,45.101,52.4826,61.472,71.3145,80.9219,87.0182,91.1184
2,228,0.499,62.73,0.226,38.9043,41.5819,45.8794,53.5329,62.73,72.6574,82.2169,88.221,92.2338
2,234,0.587,63.922,0.225,39.2987,42.1148,46.6071,54.528,63.922,73.9242,83.4339,89.3507,93.2824
2,240,0.674,65.063,0.224,39.638,42.5986,47.291,55.4794,65.063,75.1311,84.5873,90.4186,94.2729
