Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,120,1.957,128.835,0.049,116.3852,118.0159,120.4855,124.5074,128.835,133.0277,136.696,138.8469,140.2269
2,126,1.957,131.843,0.049,119.1026,120.7713,123.2986,127.4144,131.843,136.1336,139.8875,142.0887,143.5009
2,132,1.957,134.302,0.049,121.3239,123.0238,125.5982,129.7908,134.302,138.6727,142.4966,144.7388,146.1773
2,138,1.957,136.285,0.048,123.3975,125.0839,127.6388,131.8021,136.285,140.631,144.4355,146.6671,148.0991
2,144,1.957,137.855,0.048,124.819,126.5248,129.1092,133.3205,137.855,142.2511,146.0994,148.3567,149.8052
2,150,1.957,139.081,0.047,126.2165,127.8982,130.447,134.603,139.081,143.4251,147.23,149.4627,150.8957
2,156,1.957,140.046,0.047,127.0922,128.7856,131.3521,135.5369,140.046,144.4203,148.2515,150.4997,151.9427
2,162,1.957,140.843,0.047,127.8155,129.5185,132.0997,136.3082,140.843,145.2421,149.0952,151.3562,152.8074
2,168,1.957,141.517,0.047,128.4271,130.1383,132.7318,136.9605,141.517,145.9372,149.8087,152.0805,153.5386
2,174,1.957,142.094,0.046,129.2437,130.9219,133.4665,137.6178,142.094,146.4391,150.247,152.4823,153.9173
2,180,1.957,142.59,0.046,129.6949,131.3789,133.9324,138.0982,142.59,146.9503,150.7714,153.0145,154.4546
2,186,1.957,142.985,0.046,130.0541,131.7428,134.3034,138.4807,142.985,147.3574,151.1891,153.4384,154.8824
2,192,1.957,143.275,0.046,130.3179,132.01,134.5758,138.7616,143.275,147.6562,151.4957,153.7496,155.1966
2,198,1.957,143.492,0.046,130.5153,132.21,134.7796,138.9718,143.492,147.8799,151.7252,153.9825,155.4316
2,204,1.957,143.667,0.046,130.6745,132.3712,134.944,139.1413,143.667,148.0602,151.9102,154.1703,155.6212
2,210,1.957,143.794,0.046,130.79,132.4882,135.0633,139.2643,143.794,148.1911,152.0445,154.3065,155.7587
2,216,1.957,143.852,0.046,130.8427,132.5417,135.1177,139.3204,143.852,148.2509,152.1058,154.3688,155.8216
2,222,1.957,143.912,0.046,130.8973,132.597,135.1741,139.3785,143.912,148.3127,152.1693,154.4332,155.8866
2,228,1.957,144.109,0.046,131.0765,132.7785,135.3591,139.5693,144.109,148.5157,152.3776,154.6446,156.0999
2,234,1.957,144.417,0.045,131.6537,133.3189,135.8448,139.968,144.417,148.7385,152.5277,154.7529,156.1818
2,240,1.957,144.766,0.045,131.9719,133.6411,136.1731,140.3063,144.766,149.0979,152.8963,155.1269,156.5592
