Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,139,-0.0204,34.8059,0.1316,27.1913,28.0447,29.4126,31.8521,34.8059,38.0397,41.212,43.2384,44.6086
1,140,0.0113,35.5816,0.1331,27.6919,28.5777,29.9968,32.525,35.5816,38.9219,42.1924,44.278,45.6868
1,141,0.0405,36.3573,0.1345,28.1944,29.1124,30.5823,33.1986,36.3573,39.8032,43.1708,45.3152,46.7622
1,142,0.0682,37.1527,0.1354,28.7357,29.6842,31.2019,33.9003,37.1527,40.6939,44.1477,46.3432,47.8231
1,143,0.0941,37.9481,0.1362,29.2804,30.259,31.8241,34.6035,37.9481,41.5829,45.121,47.3667,48.8789
1,144,0.1184,38.7434,0.1371,29.8172,30.8268,32.4405,35.3034,38.7434,42.4756,46.1021,48.4006,49.9468
1,145,0.1372,39.5638,0.1374,30.4109,31.4479,33.1044,36.0406,39.5638,43.3803,47.0827,49.4264,51.0017
1,146,0.1551,40.3841,0.1378,30.9976,32.0628,33.7633,36.7749,40.3841,44.2882,48.07,50.4612,52.0672
1,147,0.1721,41.2044,0.1381,31.5894,32.6822,34.426,37.5113,41.2044,45.1935,49.0522,51.4892,53.1248
1,148,0.1733,42.0428,0.1382,32.2245,33.3404,35.1211,38.2718,42.0428,46.1159,50.0556,52.5436,54.2135
1,149,0.1744,42.8813,0.1382,32.8659,34.0043,35.8209,39.0349,42.8813,47.0354,51.0531,53.5901,55.2928
1,150,0.1755,43.7198,0.1383,33.5006,34.6623,36.5159,39.7952,43.7198,47.9581,52.057,54.6452,56.3821
1,151,0.1688,44.5648,0.1384,34.1496,35.3326,37.2208,40.5628,44.5648,48.8897,53.0751,55.7193,57.4945
1,152,0.1625,45.4098,0.1385,34.7981,36.0026,37.9255,41.3303,45.4098,49.8213,54.0934,56.7937,58.6071
1,153,0.1564,46.2547,0.1386,35.4464,36.6723,38.6299,42.0975,46.2547,50.753,55.1118,57.8683,59.72
1,154,0.1457,47.0807,0.1383,36.1144,37.3572,39.3421,42.8601,47.0807,51.6514,56.0841,58.8892,60.7744
1,155,0.1352,47.9066,0.138,36.7832,38.0426,40.0549,43.6229,47.9066,52.5493,57.0556,59.9092,61.8278
1,156,0.1251,48.7325,0.1377,37.4525,38.7286,40.7681,44.386,48.7325,53.4469,58.0263,60.928,62.8798
1,157,0.1146,49.5276,0.1369,38.1366,39.4247,41.4836,45.1369,49.5276,54.2923,58.9232,61.8588,63.8339
1,158,0.1042,50.3227,0.1362,38.8152,40.1158,42.195,45.8855,50.3227,55.1405,59.8257,62.7972,64.7971
1,159,0.094,51.1177,0.1354,39.5029,40.8151,42.9131,46.6378,51.1177,55.9841,60.7188,63.7229,65.7454
1,160,0.0898,51.9626,0.1344,40.2388,41.5639,43.6821,47.4417,51.9626,56.8723,61.6483,64.6784,66.7181
1,161,0.0858,52.8075,0.1334,40.9772,42.3148,44.4528,48.2467,52.8075,57.7593,62.5753,65.6303,67.6866
1,162,0.0819,53.6524,0.1324,41.7181,43.0681,45.2254,49.0527,53.6524,58.6451,63.4997,66.5787,68.6512
1,163,0.0709,54.5408,0.1311,42.5294,43.8881,46.0593,49.9112,54.5408,59.5668,64.455,67.556,69.6436
1,164,0.0599,55.429,0.1298,43.3442,44.7112,46.8956,50.7709,55.429,60.4867,65.4067,68.5286,70.6305
1,165,0.0489,56.3173,0.1286,44.1543,45.53,47.7284,51.6287,56.3173,61.4091,66.3636,69.5081,71.6256
1,166,0.0378,57.2442,0.1275,44.9896,46.3755,48.5902,52.5197,57.2442,62.3762,67.3715,70.5427,72.6786
1,167,0.0268,58.171,0.1263,45.8366,47.2315,49.4605,53.4155,58.171,63.3375,68.3675,71.5614,73.7129
1,168,0.0159,59.0979,0.1252,46.6782,48.0827,50.3269,54.3091,59.0979,64.3016,69.3691,72.5876,74.7561
1,169,0.0137,59.9961,0.1242,47.4801,48.8963,51.1589,55.1722,59.9961,65.2355,70.3354,73.5735,75.7547
1,170,0.0117,60.8944,0.1232,48.2846,49.7124,51.9929,56.0365,60.8944,66.1681,71.299,74.5558,76.7491
1,171,0.0099,61.7927,0.1223,49.0825,50.5225,52.8221,56.8981,61.7927,67.1039,72.2692,75.5467,77.7536
1,172,0.004,62.5936,0.1214,49.8107,51.2593,53.5724,57.6717,62.5936,67.9337,73.1268,76.4218,78.6405
1,173,-0.0018,63.3945,0.1206,50.5316,51.9896,54.3173,58.4423,63.3945,68.7672,73.9918,77.3068,79.539
1,174,-0.0076,64.1954,0.1199,51.245,52.713,55.0567,59.2097,64.1954,69.6044,74.8645,78.2022,80.4497
1,175,0.0054,64.9942,0.1194,51.9143,53.3993,55.769,59.9641,64.9942,70.4438,75.7359,79.0902,81.3474
1,176,0.0187,65.7932,0.1189,52.5845,54.0865,56.482,60.7192,65.7932,71.2827,76.6061,79.9765,82.2429
1,177,0.0322,66.5927,0.1185,53.2457,54.7658,57.1888,61.471,66.5927,72.1263,77.4853,80.8747,83.1522
1,178,0.1207,67.4819,0.1185,53.8355,55.402,57.8924,62.274,67.4819,73.0689,78.4411,81.8196,84.0817
1,179,0.2095,68.3739,0.1185,54.4208,56.0355,58.5956,63.079,68.3739,74.0142,79.3993,82.7672,85.0142
1,180,0.2987,69.2684,0.1184,55.012,56.6756,59.3058,63.8899,69.2684,74.9567,80.3495,83.7039,85.9342
1,181,0.397,70.1667,0.1184,55.5744,57.2932,60.0019,64.6974,70.1667,75.9058,81.3056,84.6447,86.8568
1,182,0.4947,71.0673,0.1184,56.1313,57.9074,60.697,65.5064,71.0673,76.8572,82.2644,85.5892,87.7841
1,183,0.5918,71.9701,0.1184,56.6822,58.5179,61.3911,66.3167,71.9701,77.8108,83.2257,86.537,88.7157
1,184,0.6982,72.894,0.1183,57.2369,59.1376,62.1008,67.1484,72.894,78.7797,84.1932,87.4845,89.6422
1,185,0.8031,73.8193,0.1182,57.7853,59.7535,62.8094,67.981,73.8193,79.75,85.1633,88.436,90.5742
1,186,0.9063,74.7456,0.1181,58.3273,60.3655,63.5165,68.8143,74.7456,80.7214,86.1356,89.3912,91.5115
2,88,0.1143,12.335,0.0795,10.6082,10.8123,11.1335,11.6891,12.335,13.0124,13.6499,14.0446,14.3063
2,89,0.139,12.5947,0.0784,10.8514,11.058,11.3827,11.9437,12.5947,13.2761,13.9162,14.3119,14.574
2,90,0.1644,12.8544,0.0773,11.0955,11.3044,11.6325,12.1986,12.8544,13.5394,14.1817,14.5781,14.8405
2,91,0.1864,13.116,0.0762,11.3426,11.5537,11.885,12.4558,13.116,13.8044,14.4488,14.846,15.1087
2,92,0.209,13.3776,0.0753,11.5863,11.7999,12.135,12.7117,13.3776,14.0708,14.7188,15.1177,15.3813
2,93,0.232,13.6392,0.0743,11.833,12.0489,12.3872,12.9687,13.6392,14.336,14.9862,15.386,15.65
2,94,0.2336,13.8992,0.0735,12.0771,12.295,12.6364,13.2231,13.8992,14.6015,15.2565,15.6591,15.9249
2,95,0.2355,14.1592,0.0726,12.3243,12.5439,12.8879,13.4787,14.1592,14.8656,15.5242,15.9289,16.1959
2,96,0.2375,14.4192,0.0718,12.5699,12.7914,13.1382,13.7337,14.4192,15.1305,15.7933,16.2004,16.469
2,97,0.2173,14.6873,0.0713,12.8185,13.0421,13.3924,13.9941,14.6873,15.407,16.0782,16.4906,16.7629
2,98,0.1975,14.9554,0.0709,13.065,13.291,13.6452,14.2538,14.9554,15.6844,16.3647,16.7831,17.0593
2,99,0.1879,15.2431,0.0712,13.3098,13.5408,13.9028,14.5252,15.2431,15.9895,16.6865,17.1153,17.3985
2,100,0.1787,15.5308,0.0715,13.5543,13.7903,14.1602,14.7965,15.5308,16.2948,17.0085,17.4478,17.738
2,101,0.1701,15.8185,0.0718,13.7986,14.0395,14.4174,15.0677,15.8185,16.6001,17.3308,17.7806,18.078
2,102,0.122,16.1216,0.0726,14.0478,14.2944,14.6815,15.3489,16.1216,16.9282,17.6843,18.1508,18.4595
2,103,0.0776,16.4246,0.0734,14.2961,14.5484,14.9449,15.6298,16.4246,17.2566,18.0384,18.5218,18.8421
2,104,0.0364,16.7276,0.0741,14.5463,14.8041,15.2097,15.9114,16.7276,17.5841,18.391,18.8908,19.2224
2,105,-0.0204,17.0421,0.0755,14.7891,15.0542,15.4719,16.1964,17.0421,17.9329,18.7753,19.2986,19.6464
2,106,-0.0709,17.3565,0.0768,15.0331,15.3054,15.735,16.4819,17.3565,18.281,19.1583,19.7048,20.0686
2,107,-0.1158,17.6709,0.0781,15.2757,15.5553,15.9971,16.7668,17.6709,18.6297,19.5425,20.1126,20.4928
2,108,-0.1874,18.0064,0.0797,15.5319,15.8191,16.2737,17.0686,18.0064,19.006,19.9625,20.5623,20.9633
2,109,-0.2499,18.342,0.0812,15.789,16.0838,16.5512,17.3709,18.342,19.3819,20.3816,21.0108,21.4324
2,110,-0.3321,18.6911,0.0826,16.0638,16.3652,16.8443,17.6872,18.6911,19.7723,20.8178,21.4789,21.9233
2,111,-0.4045,19.0404,0.084,16.3368,16.6451,17.1362,18.0031,19.0404,20.1636,21.2558,21.9494,22.4171
2,112,-0.4685,19.3898,0.0853,16.6109,16.9262,17.429,18.3197,19.3898,20.5543,21.6924,22.4183,22.909
2,113,-0.491,19.7612,0.0868,16.8893,17.2141,17.7328,18.6529,19.7612,20.9707,22.1561,22.9139,23.427
2,114,-0.5103,20.1327,0.0882,17.169,17.5033,18.0375,18.9867,20.1327,21.3864,22.6185,23.4079,23.943
2,115,-0.5269,20.5041,0.0896,17.4471,17.7909,18.341,19.3198,20.5041,21.8029,23.0824,23.9039,24.4615
2,116,-0.5348,20.911,0.0912,17.7461,18.1012,18.6698,19.6829,20.911,22.2607,23.5934,24.4504,25.0328
2,117,-0.5408,21.318,0.0927,18.0463,18.4126,18.9995,20.0466,21.318,22.718,24.1031,24.9952,25.6022
2,118,-0.545,21.725,0.0942,18.3446,18.7223,19.3278,20.4095,21.725,23.1762,24.6146,25.5425,26.1744
2,119,-0.5401,22.1668,0.0961,18.6555,19.047,19.6753,20.7986,22.1668,23.6787,25.1797,26.1493,26.8102
2,120,-0.5344,22.6087,0.098,18.9639,19.3697,20.0209,21.1867,22.6087,24.1825,25.7476,26.7598,27.4502
2,121,-0.5315,23.0836,0.0997,19.3052,19.725,20.3994,21.6077,23.0836,24.7197,26.3492,27.4045,28.1248
2,122,-0.528,23.5586,0.1013,19.6475,20.0814,20.7786,22.0292,23.5586,25.2564,26.9498,28.0476,28.7977
2,123,-0.5239,24.0336,0.1028,19.9911,20.4388,21.1588,22.4512,24.0336,25.7924,27.5489,28.6888,29.4681
2,124,-0.5325,24.5422,0.1045,20.3579,20.8202,21.5641,22.9015,24.5422,26.3702,28.2003,29.3903,30.2048
2,125,-0.5391,25.051,0.1062,20.7224,21.1994,21.9677,23.3508,25.051,26.9495,28.8545,30.0956,30.9461
2,126,-0.5387,25.5953,0.1083,21.0972,21.5917,22.3888,23.8256,25.5953,27.5756,29.5671,30.8669,31.7587
